"SUPPLIER (Mandatory)

Note: If you have same product which you buy from different supplier please add in a new row . Supplier only can select from dropdown only. Do not add new supplier here","Product Name
If the same product has multiple packaging types, add a new row for each
Choose from drop down","Base UOM
(Automatic) ","Packaging UOM
Note: Should be for ordering puporse, make sure it is already in product tab","Packaging Unit
Do not modify","Packaging Conversion To Base Uom
Note : conversion must be the same as in product tab","UNIT PRICE","Branches","","","","","","","","","","","","","","","","","",""
"NYC Treats","NYC Hazelnut Sea Salt","PC (Piece)","PKT (Packet)","1","","9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","NYC Double Chocolate ","PC (Piece)","PKT (Packet)","1","","9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","NYC Red Velvet","PC (Piece)","PKT (Packet)","1","","8","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Red Velvet","PC (Piece)","PKT (Packet)","1","","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Hazelnut Sea Salt","PC (Piece)","PKT (Packet)","1","","3","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Double Chocolate ","PC (Piece)","PKT (Packet)","1","","3","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Matcha","PC (Piece)","PKT (Packet)","1","","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Chocolate Chip","PC (Piece)","PKT (Packet)","1","","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"NYC Treats","Bisscoff","PC (Piece)","PKT (Packet)","1","","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Aryzta","Brioche Roti Bakar (plastik biru)","#N/A","LOAF (Loaf)","1","","1.065","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Country Bread","Brioche Chef (Sandwich)","#N/A","LOAF (Loaf)","1","","1.4","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Butterhead","G (Gram)","KG (Kilogram)","1","1000","10.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Tomato","G (Gram)","KG (Kilogram)","1","1000","5.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Daun Rocket","G (Gram)","KG (Kilogram)","1","100","6","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Mint Leaves","G (Gram)","PKT (Packet)","1","1000","14.8","","All","","","","","","","","","","","","","","","","",""
"KL Fruits","Lemon","G (Gram)","KG (Kilogram)","1","1000","11.5","","All","","","","","","","","","","","","","","","","",""
"KL Fruits","Lime","G (Gram)","KG (Kilogram)","1","1000","6.3","","All","","","","","","","","","","","","","","","","",""
"KL Fruits","Parsley ","G (Gram)","KG (Kilogram)","1","1000","14.8","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Bawang Besar","G (Gram)","KG (Kilogram)","1","100","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Bawang Holland","G (Gram)","KG (Kilogram)","1","100","2.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Peeled Garlic","G (Gram)","KG (Kilogram)","1","1000","6.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Carrot","G (Gram)","KG (Kilogram)","1","1000","2.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Celery","G (Gram)","KG (Kilogram)","1","1000","7.8","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"KL Fruits","Daun Limau","G (Gram)","KG (Kilogram)","1","1000","13.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
