"Product Name
If the same product has multiple packaging types, add a new row for each.
(Only for main products or raw materials purchased for use)","Category - Compulsory
Group or type of the product
","Base UOM
The smallest unit used in recipes, such as grams (g) or milliliters (ml).
For products used as whole units (e.g., bottled water), you may select “bottle.”

(Only one unit can be selected from the dropdown.)","Product Code
Must be unique
(Except for items with the same product name)","TAX RATE (Mandatory)","IS MENU","Packaging UOM
The unit of the packaging purchased from the supplier, used for stock counting or sales (for the central kitchen). 
","Packaging (Unit)
(Do not modify)","Unit Conversion
Used to specify how many units of the Base UOM equal 1 unit of the Packaging UOM.
For example, 1 bottle of oil = 750 ml.","Selling Price
(For Central Kitchen only)","Packaging Description
Additional information for orders , for Central Kitchen Only
(Provide if necessary)","Branches

Note:
Assign the product to branch inventory; can be assigned to more than one branch (if applicable) use comma to separate it","Product (Description)","Group / Tag
Used to filter products outside the main category; multiple tags can be added (separated by commas)","","","","","","","","","","","",""
"Artisan Chocolate","Packaging","BOTTLE (Bottle)","PB0005","NT 0%","No","CTN (Carton)","1","1","","","","","","","","","","","","","","","","",""
"Artisan Mint Chocolate","Packaging","BOTTLE (Bottle)","PB0006","NT 0%","No","CTN (Carton)","1","1","","","","","","","","","","","","","","","","",""
"Artisan Matcha","Packaging","BOTTLE (Bottle)","PB0007","NT 0%","No","CTN (Carton)","1","1","","","","","","","","","","","","","","","","",""
"Black Cold Brew","Packaging","BOTTLE (Bottle)","PB0008","NT 0%","No","CTN (Carton)","1","1","","","","","","","","","","","","","","","","",""
"White Cold Brew","Packaging","BOTTLE (Bottle)","PB0009","NT 0%","No","CTN (Carton)","1","1","","","","","","","","","","","","","","","","",""
"Paper cup (9oz)","Packaging","PC (Piece)","PC0001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Plastic cup (16oz)","Packaging","PC (Piece)","PC0002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Plastic Cup","Packaging","PC (Piece)","PC0003","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Hot Lid (9oz)","Packaging","PC (Piece)","PL0001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Iced Strawless Lid","Packaging","PC (Piece)","PL0002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Dome Lid (16oz) ","Packaging","PC (Piece)","PL0003","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Straw","Packaging","PC (Piece)","PS0001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Straw milkshake","Packaging","PC (Piece)","PS0002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paperbag S","Packaging","PC (Piece)","PP0001","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paperbag M ","Packaging","PC (Piece)","PP0002","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paperbag L","Packaging","PC (Piece)","PP0003","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Paperbag Twisted Handle","Packaging","PC (Piece)","PP0004","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
"Cup Holder (2)","Packaging","PC (Piece)","PP0005","NT 0%","No","CTN (Carton)","1","","","","","","","","","","","","","","","","","",""
